data_idx,ConvID,qt_movies_mentioned,user_chrono_id,movie_ReDOrId,rating
0,391,0,0,"[473, 5691, 2274, 4383, 3679, 6265]","[1, 1, 1, 1, 1, 1]"
1,391,2,1,"[2274, 4383, 3679, 6265]","[1, 1, 1, 1]"
2,391,3,2,"[4383, 3679, 6265]","[1, 1, 1]"
3,391,4,3,"[3679, 6265]","[1, 1]"
4,391,5,4,[6265],[1]
5,395,1,5,"[1921, 6307, 3284, 6308, 2610, 3379, 3728]","[1, 1, 1, 1, 1, 0, 1]"
6,395,2,6,"[6307, 3284, 6308, 2610, 3379, 3728]","[1, 1, 1, 1, 0, 1]"
7,395,3,7,"[3284, 6308, 2610, 3379, 3728]","[1, 1, 1, 0, 1]"
8,395,4,8,"[6308, 2610, 3379, 3728]","[1, 1, 0, 1]"
9,395,5,9,"[2610, 3379, 3728]","[1, 0, 1]"
10,395,6,10,"[3379, 3728]","[0, 1]"
11,395,7,11,[3728],[1]
12,397,1,12,"[771, 3904, 213, 438, 6307, 3489]","[1, 1, 1, 1, 1, 1]"
13,397,2,13,"[3904, 213, 438, 6307, 3489]","[1, 1, 1, 1, 1]"
14,397,3,14,"[213, 438, 6307, 3489]","[1, 1, 1, 1]"
15,397,5,15,"[6307, 3489]","[1, 1]"
16,397,6,16,[3489],[1]
17,407,0,17,"[5350, 2445, 6309, 3229, 2115, 2967]","[1, 1, 1, 1, 1, 1]"
18,407,1,18,"[2445, 6309, 3229, 2115, 2967]","[1, 1, 1, 1, 1]"
19,407,2,19,"[6309, 3229, 2115, 2967]","[1, 1, 1, 1]"
20,407,3,20,"[3229, 2115, 2967]","[1, 1, 1]"
21,407,4,21,"[2115, 2967]","[1, 1]"
22,407,5,22,[2967],[1]
23,411,0,23,"[4431, 5350, 6310, 6309]","[1, 1, 1, 1]"
24,411,1,24,"[5350, 6310, 6309]","[1, 1, 1]"
25,411,2,25,"[6310, 6309]","[1, 1]"
26,411,3,26,[6309],[1]
27,415,0,27,"[6309, 5350, 2115, 4941, 1534]","[1, 1, 1, 1, 1]"
28,415,1,28,"[5350, 2115, 4941, 1534]","[1, 1, 1, 1]"
29,415,2,29,"[2115, 4941, 1534]","[1, 1, 1]"
30,415,3,30,"[4941, 1534]","[1, 1]"
31,415,4,31,[1534],[1]
32,418,0,32,"[438, 4703, 6172, 5047, 4606, 5921, 6217, 5166, 2183, 796, 4404]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
33,418,1,33,"[4703, 6172, 5047, 4606, 5921, 6217, 5166, 2183, 796, 4404]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
