data_idx,ConvID,qt_movies_mentioned,user_chrono_id,movie_UiD,rating
0,391,0,0,"[3883, 5608, 4819, 354, 4090, 1314]","[1, 1, 1, 1, 1, 1]"
1,391,2,1,"[4819, 354, 4090, 1314]","[1, 1, 1, 1]"
2,391,3,2,"[354, 4090, 1314]","[1, 1, 1]"
3,391,4,3,"[4090, 1314]","[1, 1]"
4,391,5,4,[1314],[1]
5,395,1,5,"[3357, 1494, 2441, 1501, 6169, 2922, 4265]","[1, 1, 1, 1, 1, 0, 1]"
6,395,2,6,"[1494, 2441, 1501, 6169, 2922, 4265]","[1, 1, 1, 1, 0, 1]"
7,395,3,7,"[2441, 1501, 6169, 2922, 4265]","[1, 1, 1, 0, 1]"
8,395,4,8,"[1501, 6169, 2922, 4265]","[1, 1, 0, 1]"
9,395,5,9,"[6169, 2922, 4265]","[1, 0, 1]"
10,395,6,10,"[2922, 4265]","[0, 1]"
11,395,7,11,[4265],[1]
12,397,1,12,"[5130, 5040, 2786, 3725, 1494, 3352]","[1, 1, 1, 1, 1, 1]"
13,397,2,13,"[5040, 2786, 3725, 1494, 3352]","[1, 1, 1, 1, 1]"
14,397,3,14,"[2786, 3725, 1494, 3352]","[1, 1, 1, 1]"
15,397,5,15,"[1494, 3352]","[1, 1]"
16,397,6,16,[3352],[1]
17,407,0,17,"[4155, 5476, 2742, 2191, 4203, 1074]","[1, 1, 1, 1, 1, 1]"
18,407,1,18,"[5476, 2742, 2191, 4203, 1074]","[1, 1, 1, 1, 1]"
19,407,2,19,"[2742, 2191, 4203, 1074]","[1, 1, 1, 1]"
20,407,3,20,"[2191, 4203, 1074]","[1, 1, 1]"
21,407,4,21,"[4203, 1074]","[1, 1]"
22,407,5,22,[1074],[1]
23,411,0,23,"[561, 4155, 1504, 2742]","[1, 1, 1, 1]"
24,411,1,24,"[4155, 1504, 2742]","[1, 1, 1]"
25,411,2,25,"[1504, 2742]","[1, 1]"
26,411,3,26,[2742],[1]
27,415,0,27,"[2742, 4155, 4203, 2697, 1577]","[1, 1, 1, 1, 1]"
28,415,1,28,"[4155, 4203, 2697, 1577]","[1, 1, 1, 1]"
29,415,2,29,"[4203, 2697, 1577]","[1, 1, 1]"
30,415,3,30,"[2697, 1577]","[1, 1]"
31,415,4,31,[1577],[1]
32,418,0,32,"[3725, 1626, 903, 3072, 1223, 6518, 1084, 3494, 4457, 5216, 427]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
33,418,1,33,"[1626, 903, 3072, 1223, 6518, 1084, 3494, 4457, 5216, 427]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
34,418,3,34,"[3072, 1223, 6518, 1084, 3494, 4457, 5216, 427]","[1, 1, 1, 1, 1, 1, 1, 1]"
35,418,4,35,"[1223, 6518, 1084, 3494, 4457, 5216, 427]","[1, 1, 1, 1, 1, 1, 1]"
36,418,5,36,"[6518, 1084, 3494, 4457, 5216, 427]","[1, 1, 1, 1, 1, 1]"
37,418,6,37,"[1084, 3494, 4457, 5216, 427]","[1, 1, 1, 1, 1]"
38,418,7,38,"[3494, 4457, 5216, 427]","[1, 1, 1, 1]"
39,418,8,39,"[4457, 5216, 427]","[1, 1, 1]"
40,418,9,40,"[5216, 427]","[1, 1]"
41,419,0,41,"[1223, 1344, 5549, 3963, 1958, 74]","[1, 1, 0, 1, 1, 1]"
42,419,1,42,"[1344, 5549, 3963, 1958, 74]","[1, 0, 1, 1, 1]"
43,419,2,43,"[5549, 3963, 1958, 74]","[0, 1, 1, 1]"
44,419,3,44,"[3963, 1958, 74]","[1, 1, 1]"
45,419,4,45,"[1958, 74]","[1, 1]"
46,419,5,46,[74],[1]
47,426,0,47,"[4636, 1165, 3494, 5040, 1542, 2138, 1577, 4613, 1507, 6483, 3470, 2897, 184]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
48,426,2,48,"[3494, 5040, 1542, 2138, 1577, 4613, 1507, 6483, 3470, 2897, 184]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
49,426,3,49,"[5040, 1542, 2138, 1577, 4613, 1507, 6483, 3470, 2897, 184]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
50,426,4,50,"[1542, 2138, 1577, 4613, 1507, 6483, 3470, 2897, 184]","[1, 1, 1, 0, 1, 1, 1, 1, 1]"
51,426,5,51,"[2138, 1577, 4613, 1507, 6483, 3470, 2897, 184]","[1, 1, 0, 1, 1, 1, 1, 1]"
52,426,6,52,"[1577, 4613, 1507, 6483, 3470, 2897, 184]","[1, 0, 1, 1, 1, 1, 1]"
53,426,8,53,"[1507, 6483, 3470, 2897, 184]","[1, 1, 1, 1, 1]"
54,426,9,54,"[6483, 3470, 2897, 184]","[1, 1, 1, 1]"
55,426,11,55,"[2897, 184]","[1, 1]"
56,426,12,56,[184],[1]
57,455,0,57,"[5476, 2666, 5919, 384]","[0, 1, 1, 1]"
58,455,1,58,"[2666, 5919, 384]","[1, 1, 1]"
59,455,2,59,"[5919, 384]","[1, 1]"
60,455,3,60,[384],[1]
61,458,0,61,"[5584, 5549, 6077, 2176, 4920]","[0, 1, 1, 1, 1]"
62,458,1,62,"[5549, 6077, 2176, 4920]","[1, 1, 1, 1]"
63,458,2,63,"[6077, 2176, 4920]","[1, 1, 1]"
64,458,3,64,"[2176, 4920]","[1, 1]"
65,459,0,65,"[1494, 2176, 6077, 2528, 6210]","[1, 1, 1, 1, 1]"
66,459,1,66,"[2176, 6077, 2528, 6210]","[1, 1, 1, 1]"
67,459,2,67,"[6077, 2528, 6210]","[1, 1, 1]"
68,459,3,68,"[2528, 6210]","[1, 1]"
69,459,4,69,[6210],[1]
70,461,0,70,"[49, 2926, 1494, 5506, 6448]","[0, 1, 1, 1, 1]"
71,461,1,71,"[2926, 1494, 5506, 6448]","[1, 1, 1, 1]"
72,461,3,72,"[5506, 6448]","[1, 1]"
73,461,4,73,[6448],[1]
74,462,0,74,"[2562, 1978, 3804, 4065]","[1, 0, 1, 1]"
75,462,1,75,"[1978, 3804, 4065]","[0, 1, 1]"
76,462,2,76,"[3804, 4065]","[1, 1]"
77,462,3,77,[4065],[1]
78,463,0,78,"[6118, 97, 1494, 5226, 3918, 4738]","[1, 1, 0, 1, 1, 1]"
79,463,2,79,"[1494, 5226, 3918, 4738]","[0, 1, 1, 1]"
80,463,3,80,"[5226, 3918, 4738]","[1, 1, 1]"
81,463,4,81,"[3918, 4738]","[1, 1]"
82,463,5,82,[4738],[1]
83,464,0,83,"[4901, 133, 998, 5385]","[1, 1, 1, 0]"
84,464,1,84,"[133, 998, 5385]","[1, 1, 0]"
85,464,3,85,[5385],[0]
86,465,0,86,"[1223, 1006, 6483, 4903]","[1, 1, 0, 1]"
87,465,1,87,"[1006, 6483, 4903]","[1, 0, 1]"
88,465,2,88,"[6483, 4903]","[0, 1]"
89,465,3,89,[4903],[1]
90,466,0,90,"[1577, 6411, 3065, 5838]","[1, 1, 0, 1]"
91,466,1,91,"[6411, 3065, 5838]","[1, 0, 1]"
92,466,2,92,"[3065, 5838]","[0, 1]"
93,466,3,93,[5838],[1]
94,467,0,94,"[5286, 1494, 1577, 4823]","[1, 1, 0, 1]"
95,467,2,95,"[1577, 4823]","[0, 1]"
96,467,3,96,[4823],[1]
97,468,0,97,"[2459, 4920, 2799, 2047]","[1, 1, 0, 1]"
98,468,1,98,"[4920, 2799, 2047]","[1, 0, 1]"
99,468,2,99,"[2799, 2047]","[0, 1]"
100,468,3,100,[2047],[1]
101,469,0,101,"[2562, 5017, 5286, 942, 2176]","[1, 1, 0, 1, 1]"
102,469,1,102,"[5017, 5286, 942, 2176]","[1, 0, 1, 1]"
103,469,2,103,"[5286, 942, 2176]","[0, 1, 1]"
104,469,3,104,"[942, 2176]","[1, 1]"
105,469,4,105,[2176],[1]
106,470,0,106,"[2443, 79, 1223, 4903]","[1, 0, 1, 1]"
107,470,1,107,"[79, 1223, 4903]","[0, 1, 1]"
