movie_UiD,title,genres
0,Crac,animation
1,The Bandit,
2,The Mosquito Coast,"adventure, drama, thriller"
3,The Shadow,"action, adventure, fantasy, mystery"
4,Mission: Impossible Â Ghost Protocol,
5,Phase IV,"horror, sci-fi, thriller"
6,Saving Mr. Banks,"comedy, drama"
7,The Accountant,"crime, drama, thriller"
8,Stitches,
9,The Cabinet of Dr. Caligari,
10,One Flew Over the Cuckoo's Nest,drama
11,Hotel Transylvania 2,"animation, comedy"
12,Son of Saul,drama
13,Fido,"comedy, horror, thriller"
14,The Others,"drama, horror, mystery, thriller"
15,The Jewel of the Nile,"action, adventure, comedy, romance"
16,Indiana Jones and the Temple of Doom,"action, adventure, fantasy"
17,Captain America,"action, fantasy, sci-fi, thriller, war"
18,Hoop Dreams,documentary
19,The Lords of Salem,"horror, thriller"
20,VIPs,
21,Marvel Super Heroes 4D,
22,Earth to Echo,"adventure, children, sci-fi"
23,My Life in Ruins,comedy
24,Flight,
25,Cabin Fever,horror
26,Sisters,"children, comedy"
27,The Lodger,"crime, drama, mystery, thriller"
28,The Great Race,"comedy, musical"
29,Detective School Dropouts,
30,Runaway Jury,"drama, thriller"
31,The Purge: Anarchy,"action, horror, thriller"
32,The Right Kind of Wrong,"comedy, romance"
33,Existenz,
34,40 Days and Nights,
35,Let's Scare Jessica to Death,"horror, mystery"
36,Dumb and Dumber,
37,Pumpkinhead,horror
38,The Dark Night,
39,Bride and Prejudice,"comedy, musical, romance"
40,Train of Life,
41,The Maze Runner,"action, mystery, sci-fi"
42,Dark Side of the Moon,"crime, drama, thriller"
43,Arthur Christmas,"animation, children, comedy, drama"
44,Jurassic Shark,
45,Alexander,"action, adventure, drama, war"
46,Kill Bill: Volume 2,
47,High Tension,
48,Hellraiser,horror
49,Risky Business,
50,A Troll in Central Park,"animation, children"
51,Battle of the Sexes,
52,Pale Rider,western
53,A Perfect Getaway,"horror, thriller"
54,Men of Honor,drama
55,Personal Shopper,"drama, thriller"
56,Harry Potter and the Deathly Hallows Â Part 1,
57,Live and Let Die,"action, adventure, thriller"
58,The English Patient,"drama, romance, war"
59,Matilda,"children, comedy, fantasy"
60,Old Boys: The Way of the Dragon,
61,Radio,drama
62,Mystic River,"crime, drama, mystery"
63,A Dangerous Man,"action, crime, thriller"
64,Scooby-Doo! Stage Fright,"adventure, animation, children"
65,Foodfight!,"action, animation, children, comedy"
66,Garfield Gets Real,"animation, children, comedy"
67,The Naked Gun: From the Files of Police Squad!,"action, comedy, crime, romance"
68,Enemy at the Gates,"drama, war"
69,Â¡Three Amigos!,"comedy, western"
70,Soul Surfer,"action, drama"
71,Revolutionary Road,"drama, romance"
72,Delivery Man,comedy
73,Good Cheer,
74,Jerry Maguire,"drama, romance"
75,Salmon Fishing in the Yemen,"comedy, drama, romance"
76,The Adventures of Robin Hood,"action, adventure, romance"
77,Waterloo Bridge,"drama, romance, war"
78,A Far Off Place,"adventure, children, drama, romance"
79,Signs,romance
80,A Tale of Two Sisters,
81,Faces of Death,"documentary, horror"
82,Agent Cody Banks,"action, adventure, children, fantasy"
83,Ordinary People,drama
84,Death Wish,"action, crime, drama"
85,"Lock, Stock and Two Smoking Barrels","comedy, crime, thriller"
86,The Perfect Match,"comedy, romance"
87,Harsh Times,
88,Superman Returns,"action, adventure, sci-fi, imax"
89,Dan in Real Life,"comedy, drama, romance"
90,Kong: Skull Island,"action, adventure, fantasy"
91,The In-Laws,comedy
92,Hudson Hawk,"action, adventure, comedy"
93,Wonder Woman,"action, adventure, fantasy"
94,Up Close and Personal,"drama, romance"
95,Creature of the Walking Dead,
96,Monty Python's Life of Brian,comedy
97,Airplane!,comedy
98,A Fish Called Wanda,"comedy, crime"
99,Spamalot,
100,Inferno,"mystery, thriller"
101,Only You,"comedy, romance"
102,Snow Dogs,"adventure, children, comedy"
103,Changing Lanes,"drama, thriller"
104,Leprechaun 3,"comedy, fantasy, horror"
105,Summer of Sam,drama
106,Exposed,drama
107,Hard Eight,
108,Jackass Presents: Bad Grandpa,comedy
109,Aileen Wuornos: The Selling of a Serial Killer,documentary
110,Just Visiting,"comedy, fantasy"
111,Ruby Sparks,"comedy, fantasy, romance"
112,"Me, Myself & Irene","adventure, comedy"
113,Monkey Kingdom,documentary
114,Red Dust,drama
115,Bad Girls,western
116,Superman: Unbound,
117,A Few Good Men,"crime, drama, thriller"
118,Beyond a Reasonable Doubt,"drama, mystery"
119,K-19: The Widowmaker,"action, adventure, drama, thriller"
120,Hatchet,"comedy, horror"
121,The Ex,
122,Bridge of Spies,"drama, thriller"
123,Hello Herman,drama
124,Premium Rush,"action, thriller"
125,Fried Green Tomatoes,"comedy, crime, drama"
126,Production of Avengers: Infinity War and the untitled Avengers sequel,
127,12 Rounds,"action, thriller"
128,Iron Man,drama
129,A Chorus Line,"comedy, drama, musical"
130,The Best Years of Our Lives,"drama, war"
131,Excalibur,"adventure, fantasy"
132,Ace Ventura,
133,This Means War,"action, comedy, romance"
134,A Walk in the Clouds,"drama, romance"
135,Burlesque,"drama, musical, romance"
136,Five Deadly Venoms,action
137,Hide and Seek,
138,Wind in the Willows,
139,The Skulls,thriller
140,The Family,
141,Despicable Me 3,"adventure, animation, children, comedy"
142,A Good Day to Die Hard,"action, crime, thriller, imax"
143,Princess,
144,Tiger,
145,Eddie and the Cruisers II: Eddie Lives!,"drama, musical"
146,Parenthood,"comedy, drama"
147,Promised Land,drama
148,Holiday,"action, children, comedy, crime, drama, romance"
149,Cold Mountain,"drama, romance, war"
150,Jane Got a Gun,
151,Dr. Who and the Daleks,"adventure, children, sci-fi"
152,Australia,"adventure, drama, war, western"
153,My Best Friend's Girl,"comedy, romance"
154,The Night of the Devils,horror
155,Out of Sight,"comedy, crime, drama, romance, thriller"
156,Fantasia,
157,Field of Dreams,"children, drama, fantasy"
158,The Strangers,
159,Gettysburg,"drama, war"
160,Miracle,drama
161,Mr. Holmes,"drama, mystery"
162,Grimm's Snow White,
163,Halloween,horror
164,Chernobyl Diaries,horror
165,The Nazis Strike,
166,Little Women,drama
167,La mujer de mi hermano,
168,Thomas & Friends: The Great Race,
169,Sister,
170,Time Bandits,"adventure, comedy, fantasy, sci-fi"
171,Burlesque,"drama, musical, romance"
172,Ondine,"drama, fantasy, romance"
173,Star Wars,
174,Where the Heart Is,"comedy, drama"
175,Away We Go,"comedy, drama, romance"
176,The Money Pit,comedy
177,Kingsman: The Golden Circle,
178,In the Blink of an Eye,
179,Fierce Creatures,comedy
180,"I'm a Cyborg, But That's OK",
181,Paranormal Activity 3,horror
182,The Searchers,"drama, western"
183,Meet Me in St. Louis,musical
184,Erin Brockovich,drama
185,Witness,"drama, romance, thriller"
186,Obsessed,"crime, drama, thriller"
187,The Island,"action, sci-fi, thriller"
188,Superman,"action, crime, sci-fi"
189,Fearless,
190,Evil Aliens,"comedy, horror, sci-fi"
191,Case 39,"horror, thriller"
192,Justice,
193,Forks Over Knives,documentary
194,Double Impact,action
195,Edge of Darkness,"drama, thriller"
196,MirrorMask,
197,Mindwalk,drama
198,The Empire Strikes Back,
199,DÃ©jÃ  Vu,
200,The Last King of Scotland,"drama, thriller"
201,Air America,"action, comedy"
202,War Horse,"drama, war"
203,Einstein Girl,
204,The Wonderful Wizard of Oz,
205,Transformers: Dark of the Moon,"action, adventure, sci-fi, war, imax"
206,The Unforgiven,
207,Gladiatress,
208,Kill the Irishman,"action, crime"
209,13 Sins,"horror, thriller"
210,Year One,"adventure, comedy"
211,Journey to Italy,
212,Porky's,
213,Railroad Tigers,"action, comedy, war"
214,Wannabe,
215,The Bourne Ultimatum,"action, crime, thriller"
216,Police Story 2,
217,Rio,"adventure, animation, children, comedy"
218,The Artist,"comedy, drama, romance"
219,Jackass: The Movie,"action, comedy, documentary"
220,National Lampoon's European Vacation,
221,The Bounty Hunter,"action, comedy, romance"
222,31,horror
223,The Dark,"horror, mystery, thriller"
224,Funny Games,
225,The Game,"drama, mystery, thriller"
226,Tank Girl,"action, comedy, sci-fi"
227,Booty Call,"comedy, romance"
228,The Gift,
229,Godzilla,"action, sci-fi, thriller"
230,Escape from L.A.,"action, adventure, sci-fi, thriller"
231,A Taste of Honey,drama
232,Philadelphia Experiment II,"action, adventure, sci-fi"
233,"That's It, That's All",
234,Unleashed,
235,Ernest Saves Christmas,"children, comedy"
236,Halloween H20: 20 Years Later,
237,Iron Man,"action, adventure, sci-fi"
238,Titanic,"drama, romance"
239,Reign of Fire,"action, adventure, fantasy"
240,The Hunger,horror
241,An Inconvenient Truth,
242,An Officer and a Gentleman,
243,Tales from the Hood,"action, crime, horror"
244,Dead Silence,"horror, mystery, thriller"
245,For the Love of Spock,documentary
246,He Got Game,drama
247,The Village,"drama, mystery, thriller"
248,The Way Back,drama
249,Spawn,"action, adventure, sci-fi, thriller"
250,"I, Robot","action, adventure, sci-fi, thriller"
251,The Temptress,"drama, romance"
252,Red State,
253,Princess Protection Program,"children, drama"
254,Debbie Does Dallas,
255,Munich,"action, crime, drama, thriller"
256,Gozu,
257,An Affair to Remember,
258,Breakfast at Tiffany's,"drama, romance"
259,Ganglamedo,
260,Little Fockers,comedy
261,Let the Right One In,
262,Batman,"action, crime, thriller"
263,Psycho,
264,Zombieland,"action, comedy, horror"
265,The Lincoln Lawyer,"crime, drama, thriller"
266,The Fluffy Movie,comedy
