ConvID,text,ratings
18144,R:: Hello S:: Hello! Do you know any good John Wayne movies? R:: I really liked True Grit (adventure drama western) S:: That is great! The new one not as much. R:: The new one seemed like a comedy ,"{'UiD': 4762, 'qt_movie_mentionned': 1}"
18144,"R:: Hello S:: Hello! Do you know any good John Wayne movies? R:: I really liked True Grit (adventure drama western) S:: That is great! The new one not as much. R:: The new one seemed like a comedy S:: One I particularly liked was Hatari! (adventure comedy) R:: Oh, I haven't seen that one S:: It really did! R:: I remember I liked The Quiet Man (drama romance) S:: It's more of a comedy and it's the funniest one he ever did. I haven't seen that yet. I will add it to my list. R:: It's more of a romantic film, as I remember ","{'UiD': 3820, 'qt_movie_mentionned': 3}"
18147,S:: Hello R:: Hi! What are you looking for today? S:: I'm looking for something dark and mysterious ,"{'UiD': 6151, 'qt_movie_mentionned': 0}"
18147,"S:: Hello R:: Hi! What are you looking for today? S:: I'm looking for something dark and mysterious I liked Angels & Demons (crime drama mystery thriller) and Nightcrawler (crime drama thriller) As well as Donnie Darko (drama mystery sci-fi thriller) and 10 Cloverfield Lane (thriller) ld Have you seen anything good recently? R:: The only thing I have seen recently has been a romantic comedy. S:: Oh, I like those too What did you see? ","{'UiD': 2680, 'qt_movie_mentionned': 4}"
18147,"S:: Hello R:: Hi! What are you looking for today? S:: I'm looking for something dark and mysterious I liked Angels & Demons (crime drama mystery thriller) and Nightcrawler (crime drama thriller) As well as Donnie Darko (drama mystery sci-fi thriller) and 10 Cloverfield Lane (thriller) ld Have you seen anything good recently? R:: The only thing I have seen recently has been a romantic comedy. S:: Oh, I like those too What did you see? R:: Okay. The movie I watched was a Scottish movie called Not Another Happy Ending (comedy drama romance). S:: I haven't heard of that one.  Is it like About Time (drama fantasy romance) ? R:: It has Karen Gilan, Stanley Weber, and Gary Lewis. A little different in my opinion. S:: Thank you for that recommendation. I always enjoy seeing films that stand apart R:: It's very good though. It will make you laugh and cry at the same time. S:: Those are the best I hope I can find it somewhere Sometimes it's a hunt for the independent films R:: They really are. I watched it on Amazon. Have you seen Silver Linings Playbook (comedy drama)? S:: Yes, I liked that one a lot.  Always laugh when he throws the book out the window R:: It was hilarious. How about Monster-in-Law (comedy romance)? S:: That I have not seen. I will look that up as well R:: It stars Jennifer Lopez and Jane Fonda. You would bust a gut. ","{'UiD': 1404, 'qt_movie_mentionned': 8}"
18147,"S:: Hello R:: Hi! What are you looking for today? S:: I'm looking for something dark and mysterious I liked Angels & Demons (crime drama mystery thriller) and Nightcrawler (crime drama thriller) As well as Donnie Darko (drama mystery sci-fi thriller) and 10 Cloverfield Lane (thriller) ld Have you seen anything good recently? R:: The only thing I have seen recently has been a romantic comedy. S:: Oh, I like those too What did you see? R:: Okay. The movie I watched was a Scottish movie called Not Another Happy Ending (comedy drama romance). S:: I haven't heard of that one.  Is it like About Time (drama fantasy romance) ? R:: It has Karen Gilan, Stanley Weber, and Gary Lewis. A little different in my opinion. S:: Thank you for that recommendation. I always enjoy seeing films that stand apart R:: It's very good though. It will make you laugh and cry at the same time. S:: Those are the best I hope I can find it somewhere Sometimes it's a hunt for the independent films R:: They really are. I watched it on Amazon. Have you seen Silver Linings Playbook (comedy drama)? S:: Yes, I liked that one a lot.  Always laugh when he throws the book out the window R:: It was hilarious. How about Monster-in-Law (comedy romance)? S:: That I have not seen. I will look that up as well R:: It stars Jennifer Lopez and Jane Fonda. You would bust a gut. S:: I just watched Jane Fonda in Barefoot in the Park (comedy) R:: I haven't seen that. S:: I like silly old movies once in a while Thank you for the recommendations There are always a few movies a year that I mean to see but miss ","{'UiD': 1215, 'qt_movie_mentionned': 9}"
18152,S:: hi R:: Hello. What can I do foryou today? S:: I'm looking for war movies like Apocalypse Now (action drama war) or Saving Private Ryan (action drama war) I also like Windtalkers (action drama war) and Dunkirk (action drama thriller war) ,"{'UiD': 6235, 'qt_movie_mentionned': 4}"
18158,R:: Hello S:: Hello! R:: What are your two favorite movies ? ,"{'UiD': 2680, 'qt_movie_mentionned': 0}"
18159,"S:: Hello R:: Howdy!  Do you like westerns? S:: Love 'em from Stagecoach (action drama romance western) to The Hateful Eight (western) R:: Good ones! Have you seen both True Grit (western) and True Grit (adventure drama western) ? I can't decide which I like better! S:: Glen Campbell was in the 2nd one...... lol, love the Dude, but the Duke rules all. wasn't R:: I think John Wayne wins everytime though! S:: always. ","{'UiD': 4184, 'qt_movie_mentionned': 4}"
18159,"S:: Hello R:: Howdy!  Do you like westerns? S:: Love 'em from Stagecoach (action drama romance western) to The Hateful Eight (western) R:: Good ones! Have you seen both True Grit (western) and True Grit (adventure drama western) ? I can't decide which I like better! S:: Glen Campbell was in the 2nd one...... lol, love the Dude, but the Duke rules all. wasn't R:: I think John Wayne wins everytime though! S:: always. R:: I don't think his sequal, Rooster Cogburn (comedy western) did him justice though. S:: The Shootist (drama western) was a good one for him to go out on though. R:: You are so right!  I think my favorite JW movie was The Quiet Man (drama romance) , though. ","{'UiD': 3442, 'qt_movie_mentionned': 7}"
